Itemset	day	sentiment
( 91, 238, 535)	2	0
( 91, 238, 535)	3	0
( 91, 238, 535)	4	0
( 91, 238, 535)	5	18
( 91, 238, 535)	6	63
( 91, 238, 904)	0	0
( 91, 238, 904)	1	-68
( 91, 238, 904)	2	0
( 91, 238, 904)	3	0
( 91, 238, 904)	4	0
( 91, 238, 904)	5	23
( 91, 238, 904)	6	61
( 91, 535, 904)	0	0
( 91, 535, 904)	1	-84
( 91, 535, 904)	2	0
( 91, 535, 904)	3	0
( 91, 535, 904)	4	0
( 91, 535, 904)	5	20
( 91, 535, 904)	6	48
( 238, 535, 904)	0	0
( 238, 535, 904)	1	-86
( 238, 535, 904)	2	0
( 238, 535, 904)	3	0
( 238, 535, 904)	4	0
( 238, 535, 904)	5	20
( 238, 535, 904)	6	68
( 352, 82, 574)	0	54
( 352, 82, 574)	1	0
( 352, 82, 574)	2	-63
( 352, 82, 574)	3	0
( 352, 82, 574)	4	21
( 352, 82, 574)	5	0
( 352, 82, 574)	6	0
( 28, 653, 117)	0	0
( 28, 653, 117)	1	0
( 28, 653, 117)	2	0
( 28, 653, 117)	3	-48
( 28, 653, 117)	4	13
( 28, 653, 117)	5	0
( 28, 653, 117)	6	58
( 2, 17, 851)	0	58
( 2, 17, 851)	1	-40
( 2, 17, 851)	2	0
( 2, 17, 851)	3	0
( 2, 17, 851)	4	22
( 2, 17, 851)	5	0
( 2, 17, 851)	6	0
( 857, 128, 57)	0	0
( 857, 128, 57)	1	-36
( 857, 128, 57)	2	0
( 857, 128, 57)	3	0
( 857, 128, 57)	4	20
( 857, 128, 57)	5	37
( 857, 128, 57)	6	0
( 857, 128, 977)	0	0
( 857, 128, 977)	1	-29
( 857, 128, 977)	2	0
( 857, 128, 977)	3	0
( 857, 128, 977)	4	17
( 857, 128, 977)	5	33
( 857, 128, 977)	6	0
( 857, 57, 977)	0	0
( 857, 57, 977)	1	-45
( 857, 57, 977)	2	0
( 857, 57, 977)	3	0
( 857, 57, 977)	4	21
( 857, 57, 977)	5	39
( 857, 57, 977)	6	0
( 128, 57, 977)	0	0
( 128, 57, 977)	1	-37
( 128, 57, 977)	2	0
( 128, 57, 977)	3	0
( 128, 57, 977)	4	23
( 128, 57, 977)	5	35
( 128, 57, 977)	6	0
( 220, 566, 497)	0	0
( 220, 566, 497)	1	0
( 220, 566, 497)	2	-34
( 220, 566, 497)	3	0
( 220, 566, 497)	4	14
( 220, 566, 497)	5	0
( 220, 566, 497)	6	31
( 971, 359, 499)	0	62
( 971, 359, 499)	1	-45
( 971, 359, 499)	2	0
( 971, 359, 499)	3	-35
( 971, 359, 499)	4	0
( 971, 359, 499)	5	0
( 971, 359, 499)	6	0
( 242, 995, 963)	0	0
( 242, 995, 963)	1	-90
( 242, 995, 963)	2	-39
( 242, 995, 963)	3	0
( 242, 995, 963)	4	0
( 242, 995, 963)	5	16
( 242, 995, 963)	6	41
( 242, 995, 771)	0	0
( 242, 995, 771)	1	-101
( 242, 995, 771)	2	-29
( 242, 995, 771)	3	0
( 242, 995, 771)	4	0
( 242, 995, 771)	5	8
( 242, 995, 771)	6	56
( 242, 995, 943)	0	0
( 242, 995, 943)	1	-83
( 242, 995, 943)	2	-29
( 242, 995, 943)	3	0
( 242, 995, 943)	4	0
( 242, 995, 943)	5	9
( 242, 995, 943)	6	35
( 242, 963, 771)	0	0
( 242, 963, 771)	1	-103
( 242, 963, 771)	2	-37
( 242, 963, 771)	3	0
